sha,COMMIT_USER_ID,COMMIT_TIMESTAMP,COMMIT_DESC
c6ec494f963895e52787952143ca65a2fbd49fad,MaoYe,2016-02-25T21:07:25Z,Adding Ye's solution
e1b0068049926e9a3271533002481cedd500cf15,yemao616,2016-02-25T18:57:37Z,Delete What we have in Solution_2
adfd82f14e5f8aed275f2ddd0d535408ef433270,yemao616,2016-02-25T18:57:17Z,Create What we have in Solution_2
a79667bb0758aa5455b0cfc950a089dbd7850445,yemao616,2016-02-25T18:55:44Z,Create What we have in Solution_2
8a7af66734a02c0b3299eeafdafbb3ae508367df,Arnab Saha,2016-02-25T14:33:49Z,Update README.md
f79898381214d6413754d03d554823fb579cf26e,asaha1,2016-02-25T14:32:07Z,Merge branch 'master' of https://github.com/arnabsaha1011/mypackse
e35139935611a72184f1fd8a92a95f26310a4b93,asaha1,2016-02-25T14:30:01Z,Modifying the screen shot
d687cce0f8ab0a68598a3790ebc68c1d370f89c1,Arnab Saha,2016-02-25T14:26:51Z,Update README.md
d61031d6abbb2a91dcd141f29154a9c276edbc05,asaha1,2016-02-25T14:25:49Z,Adding a screenshot
a0f3031007beff286e3861ab663951e52534641b,asaha1,2016-02-25T04:50:13Z,Changed into two fold view
b2afc2ec3a5f7894418402d98f9f3b36dfccf09f,asaha1,2016-02-24T21:41:04Z,Finally pushing the solution 2 to master repo
13ca91a8d38f499030d36ed16a3e60388c0c2f23,asaha1,2016-02-24T21:30:30Z,Merge branch 'master' of https://github.com/arnabsaha1011/mypackse
8f7934f4cc9c24b411685e4bac9a491badd04f74,asaha1,2016-02-24T21:30:03Z,Changing dir structure
36a87945761a1906ea3af130a7af47594edd7478,asaha1,2016-02-24T16:41:36Z,"Merge branch 'master' of https://github.com/arnabsaha1011/mypackse

Merging"
c7b08c005ea0d2e7d83f279e30854d984adfe1db,asaha1,2016-02-24T16:41:01Z,Some structural changes
3e5267ac0c7f2c97059faea266be20d2bbed9380,asaha1,2016-02-24T16:30:09Z,some changes
b117c5c7d6e292c5fbb3944601db1261dd39f03a,asaha1,2016-02-24T14:05:26Z,Adding solution 2 project
a04efd0b62555e3ee62c34ca78fdd220a87b54d7,asaha1,2016-02-24T13:51:19Z,Changing directory structure
5eee16053e001c4677884f09ce92053a4d7f208c,asaha1,2016-02-24T13:48:32Z,Adding test file
41bb31784d3bc2d1cc0ef22ea5b6aa2b60686f90,asaha1,2016-02-23T22:50:43Z,Ignore this change
8a3b51b4fb503daefa3d83e48305017e8923ecb7,Arnab Saha,2016-02-23T02:36:11Z,Update Survey Result
1964809daf8545368f8b63dac6e1379da7df2d5d,Arnab Saha,2016-02-23T01:55:43Z,Update README.md
da4c97d99ac7569c260e7ae9a011d14eb02b025a,asaha1,2016-02-17T16:00:16Z,Adding the sol2 repo as a symbolic link
a2fea3b8eb933467a24d7581590dc2ed0b9e4422,asaha1,2016-02-17T14:15:43Z,First commit in sol2 branch
f6f13bffebbac60ae1216ba11ba228128f00344d,asaha1,2016-02-14T00:47:48Z,Adding a readme file to the repo
d8b7bdcc448d7c47044abeefb8f42ce5ee440509,asaha1,2016-02-14T00:44:44Z,Merge branch 'master' of https://github.com/arnabsaha1011/mypackse
0aa502ded05943c7530f22c9f6ff83feb038f51b,asaha1,2016-02-14T00:44:14Z,Adding a readme file to the repo
d3e15ef4b3b28ac87ee761bad89adab7278504a5,sju88,2016-02-08T18:56:26Z,Create Solution_Song
3145495c3684fa9025358d41c2da6ed30d510ef5,yiqiaoxu_joe,2016-02-05T22:18:25Z,Joe's solutions about these problems
454487463ebb427c4f02de4eca1064d01fdadb47,YiqiaoXu-Joe,2016-02-05T22:11:06Z,correct the list number
1a9d6f36361ec7a60c4b6addd9f2e50fbaa6f78e,Arnab Saha,2016-02-02T23:04:21Z,Update Survey Result
8d87f34595386576e843f574099b9dceb4f57167,yiqiaoxu_joe,2016-02-01T19:40:07Z,Few changes
e6bc71d141d405a3e23993822a764958d130523c,yiqiaoxu_joe,2016-02-01T19:36:47Z,Few changes
16a5de897524360571ba0e29d87938d6e0a5e40d,asaha1,2016-02-01T16:53:53Z,few changes
656a36c44a01bfa8103827b93dfc72edeab4c49a,asaha1,2016-02-01T01:52:36Z,few changes
b0a77d7566df9dc6a97bb6e4242e31b4fd87dd63,asaha1,2016-01-31T21:52:41Z,Structuring the folders and adding the feb 1 project
3ec0d9e9b7f93df868c902fda79499c9f357c55b,asaha1,2016-01-31T21:11:04Z,few changes
9ba961325c5b82551a26ee5e653511133d41b1c3,asaha1,2016-01-31T21:07:32Z,eh
3512e96d8d7f29c55271c28ac8467fda8da7c947,YiqiaoXu-Joe,2016-01-28T21:00:02Z,Update Survey Result
e322318a01d8819ca841088420db9e89fef78182,YiqiaoXu-Joe,2016-01-28T16:00:36Z,Create Survey Result
4a9125eb61ab17d58502bb52e9223d5bf6fac239,Arnab Saha,2016-01-26T18:38:03Z,Create what we can add to the paper
070ab64e75eecb1aeb006dbd68fabb624cc8f1bc,Arnab Saha,2016-01-19T19:37:17Z,Update SE survey
97cc79813f4b518b4f28183e43c19b017a20518d,Arnab Saha,2016-01-18T02:14:55Z,Update SE survey
445eb4eada901bc571c6adad539cf55b54007e1d,Arnab Saha,2016-01-18T02:11:59Z,Create SE survey
807bcea9ba62a462c404d77d22bec59ff9662a89,Arnab Saha,2016-01-18T01:46:21Z,Update Survey
41b59bce32ab2cf415c1487360d0691815b78b95,Arnab Saha,2016-01-18T00:10:56Z,Update Survey
cd50842e1ca02c4a586117abcb1b0f93390e694b,Arnab Saha,2016-01-17T23:42:01Z,Update Survey
75f4b2ea81af5ade859ec9589d8d83bd5673fdc6,Arnab Saha,2016-01-17T21:11:18Z,Update Survey
3df0fe1359a08818e041b54d57584ee934d6dadf,Arnab Saha,2016-01-17T21:08:03Z,Update Survey
d3a444cd6da8f946e02b0a185c256e9f2a3ad22f,Arnab Saha,2016-01-17T21:04:11Z,Update Survey
f5a43f5668b9b180611e580715bea649cf0594ce,Arnab Saha,2016-01-17T21:02:54Z,Update Survey
73bef790dbf19c395f7fb766663599b8f620d57c,arnabsaha1011,2016-01-17T20:48:34Z,Update Survey
cd38d972088222e220d94a9788f6ed9bca6696c7,arnabsaha1011,2016-01-17T20:47:53Z,Create Survey
79e8b430738376131bd83b6b017e063e975cbaf4,arnabsaha1011,2016-01-13T01:15:45Z,Update Idea
43f912f614f87fed19f1c2fe6632039022326509,arnabsaha1011,2016-01-12T23:45:03Z,Create Idea
35621683b4f246cd2f2170b794e4980a1f64d465,arnabsaha1011,2016-01-07T23:33:30Z,Initial commit
